#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 228000      2.54e-01    2.17e-01      3.34e-03    3.92e-03      2.54e-02    2.16e-02    9.9e-05
 229000      3.27e-01    2.75e-01      7.49e-03    5.68e-03      3.26e-02    2.74e-02    9.9e-05
 230000      2.70e-01    2.23e-01      1.57e-03    2.61e-03      2.77e-02    2.28e-02    9.4e-05
 231000      4.33e-01    1.87e-01      7.48e-03    4.58e-04      4.43e-02    1.91e-02    9.4e-05
 232000      2.69e-01    2.32e-01      8.02e-03    9.67e-04      2.74e-02    2.38e-02    9.4e-05
 233000      2.32e-01    1.99e-01      2.58e-03    2.54e-03      2.38e-02    2.04e-02    9.4e-05
 234000      2.45e-01    2.23e-01      1.41e-03    6.26e-03      2.51e-02    2.27e-02    9.4e-05
 235000      3.20e-01    2.33e-01      7.75e-03    8.34e-03      3.35e-02    2.43e-02    9.0e-05
 236000      3.28e-01    3.35e-01      1.22e-03    9.00e-03      3.44e-02    3.50e-02    9.0e-05
 237000      1.80e-01    2.43e-01      1.66e-03    9.00e-03      1.89e-02    2.54e-02    9.0e-05
 238000      2.38e-01    2.49e-01      2.46e-03    3.23e-03      2.50e-02    2.61e-02    9.0e-05
 239000      2.71e-01    2.28e-01      2.16e-04    1.73e-03      2.84e-02    2.39e-02    9.0e-05
 240000      2.55e-01    2.12e-01      4.18e-03    3.43e-03      2.74e-02    2.28e-02    8.5e-05
 241000      1.88e-01    2.93e-01      4.57e-03    7.42e-03      2.02e-02    3.15e-02    8.5e-05
 242000      2.78e-01    2.50e-01      1.50e-03    2.58e-03      2.99e-02    2.69e-02    8.5e-05
 243000      3.13e-01    1.81e-01      9.39e-03    2.57e-03      3.36e-02    1.95e-02    8.5e-05
 244000      1.70e-01    2.41e-01      9.96e-04    1.66e-03      1.83e-02    2.59e-02    8.5e-05
